knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
BIZ017,finance,capital budgeting,net present value,principle,Net present value evaluates an investment by discounting project cash flows and subtracting the initial investment; a positive NPV indicates value creation under the stated discount rate and cash-flow assumptions.,NPV = Σ[CashFlow_t / (1+r)^t],cash flows by period; discount rate; timing convention,Discount rate and cash-flow periodicity must match; include all relevant project cash flows.,python,"Fundamentals of Corporate Finance, 6th Edition",9. Net Present Value and Other Investment Criteria,PDF 314,A,approved,
BIZ018,finance,capital budgeting,internal rate of return,definition,"IRR is the rate that summarizes a project based on its own cash flows; the common rule accepts a project when IRR exceeds the required return, subject to known IRR limitations.",Solve r such that NPV(r) = 0,project cash flows,Flag nonconventional cash flows or multiple/absent IRRs; use NPV as the primary value criterion when rules conflict.,python,"Fundamentals of Corporate Finance, 6th Edition",9.5 The Internal Rate of Return,PDF 323,A,approved,
BIZ019,finance,capital budgeting,payback period,definition,Payback period is the time required for cumulative project cash inflows to recover the initial investment; it is a screening rule rather than a complete value measure.,Payback period = time until cumulative undiscounted cash flows recover initial cost,initial investment; cash flows by period,State whether cash flows are discounted or undiscounted; do not substitute payback for NPV when value creation is the question.,python,"Fundamentals of Corporate Finance, 6th Edition",9.2 The Payback Rule,PDF 315,A,approved,
BIZ020,finance,valuation,weighted average cost of capital,definition,WACC is the rate of return investors expect from the company and is used as an appropriate discount rate for enterprise free cash flow under the valuation framework.,,cost of debt; cost of equity; capital weights; tax assumptions,Use capital weights and component costs consistent with the valuation date and cash-flow definition.,python,Valuation: Measuring and Managing the Value of Companies,Core Valuation Principles / Cost of Capital,PDF 70,A,approved,
BIZ021,operations,performance,productivity,formula,Productivity measures output relative to input.,Productivity = Output / Input,output quantity/value; input quantity/value,Use consistent units and clearly label single-factor versus multifactor productivity.,python,"Operations Management, 13th Edition (Stevenson)",Productivity,PDF 89,A,approved,
BIZ022,operations,capacity,capacity utilization,formula,Capacity utilization is actual output divided by design capacity.,Utilization = Actual output / Design capacity × 100%,actual output; design capacity,Actual output and design capacity must refer to the same period and output unit.,python,"Operations Management, 13th Edition (Stevenson)",Strategic Capacity Planning,PDF 226,A,approved,
BIZ023,operations,forecasting,forecast error monitoring,principle,Forecasts are imperfect; managers should monitor forecast errors for magnitude and nonrandom patterns rather than assuming forecast output is exact.,,forecast values; actual values; time period,Compare actual and forecast at the same grain; inspect bias/pattern as well as average error.,python,"Operations Management, 13th Edition (Stevenson)",Forecasting,PDF 16,A,approved,
BIZ024,operations,cost-volume analysis,break-even point,definition,The break-even point is the output volume where total cost equals total revenue; below it there is a loss and above it there is profit under the model assumptions.,Break-even volume = Fixed costs / (Price per unit - Variable cost per unit),fixed cost; selling price per unit; variable cost per unit,Contribution per unit must be positive; cost and price assumptions must be valid for the analyzed volume range.,python,"Operations Management, 13th Edition (Stevenson)",Break-even analysis,PDF 239,A,approved,
BIZ025,operations,inventory,inventory turnover,definition,"Inventory turnover measures, on average, how many times inventory is replaced over a period.",,inventory usage/sales measure; average inventory; period,State the exact numerator/denominator convention used and keep periods consistent.,python,"Essentials of Inventory Management, 2nd Edition",Inventory Turnover Ratio,PDF 37,A,approved,
BIZ026,operations,inventory,reorder point,definition,A reorder point is the lowest amount of an item on hand and on order before replenishment is triggered in an independent-demand order-point system.,,demand; lead time; on-hand/on-order policy; safety stock if used,Use the organization's approved reorder-point formula and matching demand/lead-time units.,python,"Essentials of Inventory Management, 2nd Edition",Order-Point Formulae,PDF 128,A,approved,
BIZ027,operations,inventory,safety stock,principle,"Safety stock is buffer inventory used to cover uncertainty such as lead-time variation or defects, but excessive safety stock consumes money and space.",,demand uncertainty; lead-time uncertainty; service target,Do not increase safety stock as a default fix without quantifying uncertainty and carrying cost.,python,"Essentials of Inventory Management, 2nd Edition",Independent Demand Inventory / Safety Stock,PDF 124-128,A,approved,
BIZ028,operations,inventory,economic order quantity,principle,EOQ balances inventory carrying cost and ordering/purchasing cost to identify an economical replenishment quantity under its assumptions.,,annual demand; ordering cost; carrying cost rate/cost,Verify EOQ assumptions before use; document the cost basis and demand period.,python,"Essentials of Inventory Management, 2nd Edition",Economic Order Quantity / Replenishment Costs,PDF 54,A,approved,
BIZ029,service design,customer experience,customer journey map,method,Customer journey mapping analyzes the customer's end-to-end experience and touchpoints so service issues and improvement opportunities can be identified.,,persona/user role; journey stages; touchpoints; evidence,Do not infer customer emotions or pain points without observed/reported evidence.,llm+knowledge,Service Design,CX Analysis: Customer Journey Map,PDF 29,A,approved,
BIZ030,service design,service definition,service blueprint,method,"A service blueprint links customer-facing front-stage elements to supporting back-stage processes, data, roles, physical items, measures, and applications.",,customer journey; front-stage touchpoints; supporting processes/data/roles,Validate the blueprint with stakeholders and keep front-stage/back-stage dependencies explicit.,llm+knowledge,Service Design,Service Blueprint,PDF 182,A,approved,
BIZ031,risk,enterprise risk,risk culture,principle,"Risk culture is reinforced through the behavior of individuals toward risk management; tools, processes, information, engagement, and accountability influence whether risk management becomes routine practice.",,risk behaviors; management expectations; process evidence,Do not infer culture solely from policy documents; use behavioral/operational evidence where available.,llm+knowledge,"Enterprise Risk Management, 2nd Edition",Creating a Risk-Aware Culture,PDF 302-308,A,approved,
BIZ032,risk,enterprise risk,key risk indicators,principle,"Key risk indicators are metrics used to support risk management, mitigation, decision making, and strategic planning when designed and integrated appropriately.",,defined risk; indicator; threshold/tolerance; monitoring period,An indicator must be connected to a defined risk and decision threshold; do not treat any KPI as a KRI automatically.,mysql+python,"Enterprise Risk Management, 2nd Edition",10. Key Risk Indicators,PDF 57,A,approved,
BIZ033,risk,enterprise risk,risk tolerance,principle,Defining risk tolerance supports aligned decision making by clarifying how much variation or exposure is acceptable relative to objectives.,,objective; risk measure; tolerance threshold,"State the owner, measure, threshold, and period; do not invent tolerance levels.",llm+knowledge,"Enterprise Risk Management, 2nd Edition",Risk Appetite and Tolerance / Operational Risk,PDF 13,A,approved,
TECH001,data,sql,selective retrieval,principle,Analytical SQL should retrieve only the rows and columns needed for the question using explicit SELECT expressions and appropriate filters.,,required columns; filter conditions,Avoid SELECT * in production analytics unless every column is explicitly required.,mysql,"MySQL Cookbook, 4th Edition",Selecting Data / WHERE,N/A,A,approved,
TECH002,data,sql,joins,definition,Joins combine rows from multiple tables and are foundational for relational analytics.,,join keys; table relationships,Validate join keys and expected cardinality to prevent row multiplication.,mysql,"SQL Cookbook, 2nd Edition",3. Working with Multiple Tables,PDF 53,A,approved,
TECH003,data,sql,group by,rule,"When aggregate functions and GROUP BY are used, nonaggregated selected columns should be included in the grouping keys under standard SQL semantics.",,selected dimensions; aggregates,Reject ambiguous aggregation that relies on permissive nonstandard grouping behavior.,mysql,"SQL Cookbook, 2nd Edition",Grouping / Aggregate Functions,PDF 12,A,approved,
TECH004,data,sql,window functions,method,"Window functions calculate values over defined row partitions while retaining row-level detail, which is useful for rankings, running calculations, and report-style analytics.",,partition keys; order keys; window frame if needed,Define partition/order semantics explicitly and validate against a simpler reference query for critical metrics.,mysql,"SQL Cookbook, 2nd Edition",Windowing,PDF 7,A,approved,
TECH005,data,sql,null handling,principle,NULL represents missing/unknown values in SQL and must be handled explicitly in filters and calculations.,,nullable fields; intended missing-value semantics,Use IS NULL/IS NOT NULL or approved NULL-handling functions; do not compare NULL with ordinary equality.,mysql,"SQL for Data Analytics, 4th Edition",NULL handling functions / filtering,PDF 16,A,approved,
TECH006,data,modeling,star schema,definition,"A star schema organizes analytical data into fact and dimension tables to support intuitive filtering, joining, and aggregation.",,fact grain; dimension keys; measures,Define fact-table grain before aggregating; ensure dimensions join on valid keys.,mysql,"SQL for Data Analytics, 4th Edition",Loading data into the star schema,PDF 19,A,approved,
TECH007,data,modeling,transactional versus analytical models,principle,"Normalized models prioritize transactional integrity, while dimensional models simplify analytical querying; the model should fit the workload.",,workload type; integrity needs; analytical needs,Do not denormalize source-of-record data merely to simplify one query; use approved analytical views/models.,llm+knowledge,Advanced SQL,Data modeling approaches,N/A,B,approved,
TECH008,data,performance,query planning,principle,"Query plans should be inspected when performance matters because scan type, index use, and rows examined reveal how the database intends to execute a query.",,SQL query; schema/index metadata,Use EXPLAIN/plan inspection without executing destructive changes through the agent.,mysql,"SQL for Data Analytics, 4th Edition",10. Performant SQL / Query planning,PDF 17,A,approved,
TECH009,data,performance,explain,method,"MySQL EXPLAIN exposes estimated access methods and rows examined, helping diagnose inefficient queries.",,candidate SQL query,Use for diagnosis; do not automatically add/drop indexes from the runtime agent.,mysql,"High Performance MySQL, 4th Edition",Query Optimization / EXPLAIN,PDF 282,A,approved,
TECH010,data,performance,indexes,principle,"Appropriate indexes can reduce the amount of data MySQL must examine for selective queries, but an index does not guarantee a query will read few rows.",,filter/join columns; query plan; table size,Assess index benefit from actual workload and EXPLAIN; avoid speculative schema changes in read-only runtime.,mysql,"High Performance MySQL, 4th Edition",Access Types and Indexes,PDF 282,A,approved,
TECH011,data,performance,rows examined,metric,"Rows examined and rows returned are useful query-cost indicators; a large gap can signal unnecessary work, though joins and workload context matter.",Efficiency indicator = Rows returned / Rows examined,rows examined; rows returned,Do not treat the ratio as a universal pass/fail threshold; interpret with access type and query purpose.,mysql+python,"High Performance MySQL, 4th Edition",Query Cost Metrics,PDF 282,A,approved,
TECH012,analytics,python,group operations,method,"pandas groupby supports split-apply-combine analysis: split data by keys, apply summaries or transformations, and combine results.",,verified DataFrame; grouping keys; aggregation,Grouping keys and output grain must match the business question.,python,"Python for Data Analysis, 3rd Edition",10. Data Aggregation and Group Operations,PDF 112,A,approved,
TECH013,analytics,python,summary statistics,method,"Grouped Python analysis can compute counts, means, standard deviations, rankings, quantiles, transformations, and custom group functions.",,verified DataFrame; statistic definition,Use deterministic functions and document treatment of missing values/outliers.,python,"Python for Data Analysis, 3rd Edition",10. Data Aggregation and Group Operations,PDF 112,A,approved,
TECH014,analytics,python,merge and join,principle,DataFrame merge/join operations should use explicit keys and known relationship cardinality to avoid accidental duplication.,,left/right datasets; join keys; expected cardinality,Check pre/post row counts and duplicate keys for critical joins.,python,"Python for Data Analysis, 3rd Edition","Data Wrangling: Join, Combine, and Reshape",N/A,A,approved,
TECH015,analytics,python,missing data,principle,Missing data must be identified and handled deliberately rather than silently converted into ordinary values.,,missingness pattern; metric semantics,"State whether rows are dropped, imputed, or preserved; never impute business facts without an approved rule.",python,"Python for Data Analysis, 3rd Edition",Data Cleaning and Preparation,PDF 20,A,approved,
TECH016,analytics,python,pivot and cross tabulation,method,Pivot tables and cross-tabulations summarize values across categorical dimensions and can support management reporting when the grain is explicit.,,verified DataFrame; row dimensions; column dimensions; measure,Check totals against the unpivoted source result.,python,"Python for Data Analysis, 3rd Edition",Group Operations / Pivot Tables,PDF 346,A,approved,
TECH017,data management,governance,data governance,definition,"Data governance specifies decision rights and accountability to ensure appropriate behavior in the valuation, creation, storage, use, archiving, and deletion of data.",,data ownership; decision rights; controls,Assign accountable owners for governed data and controls; do not rely on the model as governance authority.,llm+knowledge,"Principles of Data Management, 3rd Edition",Data Governance,PDF 33,A,approved,
TECH018,data management,metadata,metadata,definition,"Metadata describes data and supports understanding, management, and controlled use of data assets.",,data asset; descriptive/technical metadata,Keep schema metadata synchronized with the actual database rather than cached model assumptions.,mysql,"Principles of Data Management, 3rd Edition",Metadata,PDF 14,A,approved,
TECH019,data management,quality,data quality,principle,Data quality must be assessed relative to intended use; analytical outputs are only as reliable as the underlying data and transformations.,,data fields; business rules; intended use,Run approved completeness/validity/consistency checks before relying on critical metrics.,python+mysql,"Principles of Data Management, 3rd Edition",Data Quality,PDF 14,A,approved,
TECH020,testing,software quality,shift-left testing,principle,"Quality checks should occur throughout development, including requirement validation, unit tests, static analysis, local automated tests, CI tests, and security testing.",,requirements; tests; code changes,Do not postpone security/validation testing until the final demo.,python,"Full Stack Testing, 2nd Edition",Shift-left testing,PDF 25,A,approved,
TECH021,testing,software quality,unit tests,principle,Unit tests provide fast feedback on deterministic components and should accompany implementation changes.,,function behavior; expected cases; edge cases,"Tests must include failure and boundary cases, not only happy paths.",python,"Full Stack Testing, 2nd Edition",Writing unit tests,PDF 25,A,approved,
TECH022,testing,software quality,static analysis,principle,Linting/static analysis and secret scanning provide early feedback before code reaches later test stages.,,source code; configured rules,Review findings; do not blindly auto-fix security-sensitive code.,python,"Full Stack Testing, 2nd Edition",Shift-left quality checks,PDF 25,A,approved,
TECH023,ai systems,generation control,temperature,principle,LLM token selection includes randomness controlled in part by temperature; lower temperature is appropriate when reproducibility and constrained business outputs matter.,,model call; temperature setting,Keep production temperature low and verify outputs structurally; low temperature does not guarantee factual correctness.,llm,Prompt Engineering for Generative AI,Token generation / temperature,PDF 18,B,approved,
TECH024,ai systems,structured output,structured parsing,principle,"Structured-output parsers can constrain model responses into defined fields, reducing ambiguity between planning text and executable parameters.",,schema; model response,Reject malformed output rather than guessing missing executable fields.,python,Prompt Engineering for Generative AI,Output parsers / structured output,PDF 198,B,approved,
TECH025,ai systems,prompting,few-shot examples,principle,"Providing representative examples can improve task accuracy compared with zero-shot prompting for some tasks, but examples do not replace deterministic validation.",,task examples; desired output schema,"Use small, representative examples and still validate every executable field.",llm,Prompt Engineering for Generative AI,Few-shot prompting,PDF 37,B,approved,
AN001,analytics,revenue,total revenue,rule,"For a total-revenue question, aggregate the approved revenue measure over the requested filters in SQL, then validate the scalar result.",Total revenue = SUM(approved revenue expression),approved revenue expression; filters; period,Confirm the revenue definition and date/status filters before execution.,mysql,Project analytical architecture,Approved deterministic analytics rule,N/A,PROJECT,approved,
AN002,analytics,revenue,revenue by period,rule,"For monthly/weekly/daily revenue, aggregate the approved revenue measure at the requested time grain in SQL and return one row per period.",Period revenue = SUM(revenue) GROUP BY requested period,revenue expression; date field; time grain; filters,Check that each record belongs to exactly one requested period and periods are ordered chronologically.,mysql,"SQL for Data Analytics, 4th Edition",Aggregation with GROUP BY,PDF 16,A,approved,
AN003,analytics,growth,period-over-period growth,rule,Calculate period-over-period growth deterministically after retrieving verified period totals.,Growth % = (Current - Previous) / Previous × 100,current period value; previous period value,Previous value must be nonzero; periods must be comparable and adjacent under the requested definition.,python,"Key Marketing Metrics, 3rd Edition",4.2 Growth metrics,PDF 140,A,approved,
AN004,analytics,growth,cagr,rule,Use CAGR only for multi-period compounded growth and disclose that it can mask individual year-to-year variation.,CAGR = (Ending / Starting)^(1/N) - 1,starting value; ending value; N periods,Starting value must be positive for the standard formula; state N and unit.,python,"Key Marketing Metrics, 3rd Edition",4.2 CAGR,PDF 128,A,approved,
AN005,analytics,ranking,top n entities,rule,"For top products/customers/categories, aggregate the target measure at the entity grain and rank descending; apply a deterministic tie rule.",Rank = descending aggregate measure,entity key/name; measure; filters; N,Verify the aggregation grain and tie-handling; do not rank raw transaction rows.,mysql,"SQL Cookbook, 2nd Edition",Grouping and window functions,PDF 7-12,A,approved,
AN006,analytics,orders,average order value,rule,"Average order value should be computed from verified order-level revenue divided by the count of included orders, not from an average of line-item values.",AOV = Total included order revenue / Included order count,order identifier; included revenue; filters,Build/verify order grain first; denominator must be nonzero.,python+mysql,Project analytical architecture,Approved metric rule,N/A,PROJECT,approved,
AN007,analytics,mix,contribution share,rule,Compute an entity contribution share by dividing its verified measure by the verified total for the same scope.,Share % = Entity measure / Total measure × 100,entity measure; total measure,Numerator and denominator must use identical filters/time scope; total must be nonzero.,python,"Key Marketing Metrics, 3rd Edition",Share/market metrics,N/A,A,approved,
AN008,analytics,customer,net promoter score,rule,Calculate NPS from survey classifications only when promoter and detractor percentages are available for the same population.,NPS = %Promoters - %Detractors,promoter percentage; detractor percentage,Result must be within -100 to 100; do not infer NPS from ratings without the defined classification rule.,python,"Key Marketing Metrics, 3rd Edition",2.9 Net Promoter,PDF 77,A,approved,
AN009,analytics,customer,customer lifetime value,rule,Use the constant-retention CLV formula only when its assumptions fit the requested analysis.,CLV = Margin × RetentionRate / (1 + DiscountRate - RetentionRate),margin; retention; discount rate,Same time unit; valid denominator; disclose constant-margin/retention assumptions.,python,"Key Marketing Metrics, 3rd Edition",5.3 Customer Lifetime Value,PDF 175,A,approved,
AN010,analytics,customer,customer acquisition cost,rule,Compute average acquisition cost as total acquisition spending divided by newly acquired customers for the same campaign/period.,AAC = Acquisition spending / New customers acquired,acquisition spending; acquired customer count,Acquired customer count > 0 and scope aligned.,python,"Key Marketing Metrics, 3rd Edition",5.5 Acquisition versus retention cost,PDF 179,A,approved,
AN011,analytics,pricing,price elasticity,rule,Estimate price elasticity from comparable percentage changes in quantity demanded and price when the data support such an inference.,Elasticity = %ΔQuantity / %ΔPrice,price observations; quantity observations; comparable context,Do not infer causality from uncontrolled before/after data; disclose estimation basis.,python,"Key Marketing Metrics, 3rd Edition",8.3 Price elasticity,PDF 227,A,approved,
AN012,analytics,pricing,optimal linear price,rule,"For a defensible linear-demand model, compute contribution-maximizing price as the midpoint between maximum reservation price and variable cost.",P* = (MRP + VC) / 2,maximum reservation price; variable cost,Use only for a linear demand function; otherwise mark method unsupported.,python,"Key Marketing Metrics, 3rd Edition",8.4 Optimal prices,PDF 235,A,approved,
AN013,analytics,profitability,contribution per unit,rule,Use contribution per unit to separate variable economics from fixed costs.,Contribution/unit = Price/unit - Variable cost/unit,price per unit; variable cost per unit,Inputs must use the same unit and currency basis.,python,"Key Marketing Metrics, 3rd Edition",3.6 Contribution,PDF 120,A,approved,
AN014,analytics,profitability,break-even volume,rule,Compute break-even volume from fixed cost and positive contribution per unit under constant cost/price assumptions.,Break-even volume = Fixed cost / (Price - Variable cost),fixed cost; unit price; unit variable cost,Contribution per unit must be > 0; disclose model assumptions.,python,"Operations Management, 13th Edition (Stevenson)",Break-even analysis,PDF 239,A,approved,
AN015,analytics,finance,net present value,rule,"Discount each project cash flow at the required rate for its period and sum, including the initial investment.",NPV = Σ[CF_t/(1+r)^t],cash flows; discount rate; timing,Rate and cash-flow periods must align; include t=0 correctly.,python,"Fundamentals of Corporate Finance, 6th Edition",9. Net Present Value,PDF 314,A,approved,
AN016,analytics,finance,internal rate of return,rule,"Compute IRR deterministically as a root of the NPV function, while checking for nonconventional cash flows and ambiguous roots.",Find r where NPV(r)=0,cash-flow series,"If multiple sign changes or no stable root, flag IRR as ambiguous/unavailable and prioritize NPV.",python,"Fundamentals of Corporate Finance, 6th Edition",9.5 IRR,PDF 323,A,approved,
AN017,analytics,operations,productivity,rule,"Compute productivity as output divided by the chosen input; state whether the measure is labor, machine, material, or multifactor productivity.",Productivity = Output / Input,output; input,Numerator/denominator must use compatible scope and period; denominator > 0.,python,"Operations Management, 13th Edition (Stevenson)",Productivity,PDF 89,A,approved,
AN018,analytics,operations,capacity utilization,rule,Compute utilization as actual output divided by design capacity for the same period.,Utilization % = Actual output / Design capacity × 100,actual output; design capacity,Design capacity > 0 and same output/time unit.,python,"Operations Management, 13th Edition (Stevenson)",Strategic Capacity Planning,PDF 226,A,approved,
AN019,analytics,operations,inventory turnover,rule,Calculate inventory turnover using the organization's approved numerator/average-inventory convention and state that convention.,,approved turnover numerator; average inventory,Do not compare turnover values computed with different conventions or periods.,python,"Essentials of Inventory Management, 2nd Edition",Inventory Turnover Ratio,PDF 37,A,approved,
AN020,analytics,operations,reorder point,rule,Use the approved reorder-point policy for independent-demand items and include safety stock when the selected policy requires it.,,demand rate; lead time; safety stock/policy,Demand and lead-time units must align; never invent safety stock.,python,"Essentials of Inventory Management, 2nd Edition",Order-Point Formulae,PDF 128,A,approved,
AN021,analytics,statistics,descriptive summary,rule,"For exploratory numeric summaries, use deterministic counts, central tendency, dispersion, quantiles, and grouped summaries before explanatory conclusions.",,verified DataFrame; variables; group keys,Report missing-value handling and avoid extrapolating beyond observed data.,python,"Python for Data Analysis, 3rd Edition",Group Operations,PDF 112,A,approved,
AN022,analytics,diagnostics,root cause analysis,rule,Use root-cause methods to investigate why a problem occurs after the problem is evidenced; do not label the first plausible explanation as the root cause.,,observed problem; candidate causes; evidence,Require evidence that discriminates among candidate causes.,llm+knowledge,"Business Analysis Techniques, 3rd Edition",Root cause analysis,PDF 497,A,approved,
AN023,analytics,strategy,pestle scan,rule,"For external-environment questions, organize evidence under PESTLE categories and keep the output qualitative unless measured data are available.",,external evidence; scope/market,No fabricated force scores; label dated/geographic evidence.,llm+knowledge,"Business Analysis Techniques, 3rd Edition",Technique 1: PESTLE analysis,PDF 42,A,approved,
AN024,analytics,strategy,five forces scan,rule,"For industry-structure questions, organize evidence around entrants, substitutes, buyer power, supplier power, and rivalry.",,industry definition; competitor/supplier/buyer evidence,Do not translate narrative evidence into numeric attractiveness scores unless an approved scoring model is provided.,llm+knowledge,"Management, 14th Global Edition (Robbins & Coulter)",Five Forces Model,PDF 326,A,approved,
AN025,analytics,performance,query performance review,rule,"When a business query is unexpectedly slow, inspect EXPLAIN/access type and rows examined before proposing optimization.",,validated SELECT query; schema/index metadata,Runtime may diagnose but must not alter schema/indexes automatically.,mysql,"High Performance MySQL, 4th Edition",Query Cost / EXPLAIN,PDF 282,A,approved,
AN026,analytics,visualization,time trend chart,rule,Use a line chart for ordered time trends when the primary question concerns change over time; keep the underlying table available for audit.,,ordered period; verified measure,Periods must be sorted and complete/explicitly missing; chart values must match the verified table.,python,Storytelling with Data,Choosing an effective visual / explanatory analysis,PDF 39-48,B,approved,
AN027,analytics,visualization,category comparison chart,rule,Use a bar chart for discrete category comparisons when length comparison communicates the result more clearly than a table.,,category; verified measure,Sort intentionally when useful; preserve exact values in supporting table.,python,Storytelling with Data,Choosing an effective visual,N/A,B,approved,
AN028,analytics,communication,explanatory answer,rule,"After exploratory analysis, communicate the decision-relevant message rather than dumping every tested view.",,verified findings; audience; decision context,Every headline statement must be supported by displayed or auditable evidence.,llm,Storytelling with Data,Exploratory vs. explanatory analysis / Big Idea,PDF 39-48,B,approved,
SEC001,security,agent safety,action boundaries,control,Define strict action boundaries so the agent operates only within approved operational constraints.,,allowed actions; denied actions; tool permissions,Denied actions remain denied even if requested by prompt or model output.,python,Building Agentic AI Systems,Managing Safety and Ethical Considerations,PDF 417,B,approved,
SEC002,security,agent safety,decision verification,control,Critical agent decisions should pass deterministic or rule-based verification before external action or execution.,,proposed action; policy constraints; validation result,No executable action proceeds when verification fails or is indeterminate.,python,Building Agentic AI Systems,Core safety considerations,PDF 417,B,approved,
