knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
BIZ017,finance,capital budgeting,net present value,principle,Net present value evaluates an investment by discounting project cash flows and subtracting the initial investment; a positive NPV indicates value creation under the stated discount rate and cash-flow assumptions.,NPV = Σ[CashFlow_t / (1+r)^t],cash flows by period; discount rate; timing convention,Discount rate and cash-flow periodicity must match; include all relevant project cash flows.,python,"Fundamentals of Corporate Finance, 6th Edition",9. Net Present Value and Other Investment Criteria,PDF 314,A,approved,
BIZ018,finance,capital budgeting,internal rate of return,definition,"IRR is the rate that summarizes a project based on its own cash flows; the common rule accepts a project when IRR exceeds the required return, subject to known IRR limitations.",Solve r such that NPV(r) = 0,project cash flows,Flag nonconventional cash flows or multiple/absent IRRs; use NPV as the primary value criterion when rules conflict.,python,"Fundamentals of Corporate Finance, 6th Edition",9.5 The Internal Rate of Return,PDF 323,A,approved,
BIZ019,finance,capital budgeting,payback period,definition,Payback period is the time required for cumulative project cash inflows to recover the initial investment; it is a screening rule rather than a complete value measure.,Payback period = time until cumulative undiscounted cash flows recover initial cost,initial investment; cash flows by period,State whether cash flows are discounted or undiscounted; do not substitute payback for NPV when value creation is the question.,python,"Fundamentals of Corporate Finance, 6th Edition",9.2 The Payback Rule,PDF 315,A,approved,
BIZ020,finance,valuation,weighted average cost of capital,definition,WACC is the rate of return investors expect from the company and is used as an appropriate discount rate for enterprise free cash flow under the valuation framework.,,cost of debt; cost of equity; capital weights; tax assumptions,Use capital weights and component costs consistent with the valuation date and cash-flow definition.,python,Valuation: Measuring and Managing the Value of Companies,Core Valuation Principles / Cost of Capital,PDF 70,A,approved,
BIZ021,operations,performance,productivity,formula,Productivity measures output relative to input.,Productivity = Output / Input,output quantity/value; input quantity/value,Use consistent units and clearly label single-factor versus multifactor productivity.,python,"Operations Management, 13th Edition (Stevenson)",Productivity,PDF 89,A,approved,
BIZ022,operations,capacity,capacity utilization,formula,Capacity utilization is actual output divided by design capacity.,Utilization = Actual output / Design capacity × 100%,actual output; design capacity,Actual output and design capacity must refer to the same period and output unit.,python,"Operations Management, 13th Edition (Stevenson)",Strategic Capacity Planning,PDF 226,A,approved,
BIZ023,operations,forecasting,forecast error monitoring,principle,Forecasts are imperfect; managers should monitor forecast errors for magnitude and nonrandom patterns rather than assuming forecast output is exact.,,forecast values; actual values; time period,Compare actual and forecast at the same grain; inspect bias/pattern as well as average error.,python,"Operations Management, 13th Edition (Stevenson)",Forecasting,PDF 16,A,approved,
BIZ024,operations,cost-volume analysis,break-even point,definition,The break-even point is the output volume where total cost equals total revenue; below it there is a loss and above it there is profit under the model assumptions.,Break-even volume = Fixed costs / (Price per unit - Variable cost per unit),fixed cost; selling price per unit; variable cost per unit,Contribution per unit must be positive; cost and price assumptions must be valid for the analyzed volume range.,python,"Operations Management, 13th Edition (Stevenson)",Break-even analysis,PDF 239,A,approved,
BIZ025,operations,inventory,inventory turnover,definition,"Inventory turnover measures, on average, how many times inventory is replaced over a period.",,inventory usage/sales measure; average inventory; period,State the exact numerator/denominator convention used and keep periods consistent.,python,"Essentials of Inventory Management, 2nd Edition",Inventory Turnover Ratio,PDF 37,A,approved,
BIZ026,operations,inventory,reorder point,definition,A reorder point is the lowest amount of an item on hand and on order before replenishment is triggered in an independent-demand order-point system.,,demand; lead time; on-hand/on-order policy; safety stock if used,Use the organization's approved reorder-point formula and matching demand/lead-time units.,python,"Essentials of Inventory Management, 2nd Edition",Order-Point Formulae,PDF 128,A,approved,
BIZ027,operations,inventory,safety stock,principle,"Safety stock is buffer inventory used to cover uncertainty such as lead-time variation or defects, but excessive safety stock consumes money and space.",,demand uncertainty; lead-time uncertainty; service target,Do not increase safety stock as a default fix without quantifying uncertainty and carrying cost.,python,"Essentials of Inventory Management, 2nd Edition",Independent Demand Inventory / Safety Stock,PDF 124-128,A,approved,
BIZ028,operations,inventory,economic order quantity,principle,EOQ balances inventory carrying cost and ordering/purchasing cost to identify an economical replenishment quantity under its assumptions.,,annual demand; ordering cost; carrying cost rate/cost,Verify EOQ assumptions before use; document the cost basis and demand period.,python,"Essentials of Inventory Management, 2nd Edition",Economic Order Quantity / Replenishment Costs,PDF 54,A,approved,
BIZ029,service design,customer experience,customer journey map,method,Customer journey mapping analyzes the customer's end-to-end experience and touchpoints so service issues and improvement opportunities can be identified.,,persona/user role; journey stages; touchpoints; evidence,Do not infer customer emotions or pain points without observed/reported evidence.,llm+knowledge,Service Design,CX Analysis: Customer Journey Map,PDF 29,A,approved,
BIZ030,service design,service definition,service blueprint,method,"A service blueprint links customer-facing front-stage elements to supporting back-stage processes, data, roles, physical items, measures, and applications.",,customer journey; front-stage touchpoints; supporting processes/data/roles,Validate the blueprint with stakeholders and keep front-stage/back-stage dependencies explicit.,llm+knowledge,Service Design,Service Blueprint,PDF 182,A,approved,
BIZ031,risk,enterprise risk,risk culture,principle,"Risk culture is reinforced through the behavior of individuals toward risk management; tools, processes, information, engagement, and accountability influence whether risk management becomes routine practice.",,risk behaviors; management expectations; process evidence,Do not infer culture solely from policy documents; use behavioral/operational evidence where available.,llm+knowledge,"Enterprise Risk Management, 2nd Edition",Creating a Risk-Aware Culture,PDF 302-308,A,approved,
BIZ032,risk,enterprise risk,key risk indicators,principle,"Key risk indicators are metrics used to support risk management, mitigation, decision making, and strategic planning when designed and integrated appropriately.",,defined risk; indicator; threshold/tolerance; monitoring period,An indicator must be connected to a defined risk and decision threshold; do not treat any KPI as a KRI automatically.,mysql+python,"Enterprise Risk Management, 2nd Edition",10. Key Risk Indicators,PDF 57,A,approved,
BIZ033,risk,enterprise risk,risk tolerance,principle,Defining risk tolerance supports aligned decision making by clarifying how much variation or exposure is acceptable relative to objectives.,,objective; risk measure; tolerance threshold,"State the owner, measure, threshold, and period; do not invent tolerance levels.",llm+knowledge,"Enterprise Risk Management, 2nd Edition",Risk Appetite and Tolerance / Operational Risk,PDF 13,A,approved,
