knowledge_id,domain,subdomain,topic,knowledge_type,statement,formula,required_inputs,validation_rule,recommended_tool,source_title,source_section,source_page,source_tier,status,notes
TECH011,data,performance,rows examined,metric,"Rows examined and rows returned are useful query-cost indicators; a large gap can signal unnecessary work, though joins and workload context matter.",Efficiency indicator = Rows returned / Rows examined,rows examined; rows returned,Do not treat the ratio as a universal pass/fail threshold; interpret with access type and query purpose.,mysql+python,"High Performance MySQL, 4th Edition",Query Cost Metrics,PDF 282,A,approved,
TECH012,analytics,python,group operations,method,"pandas groupby supports split-apply-combine analysis: split data by keys, apply summaries or transformations, and combine results.",,verified DataFrame; grouping keys; aggregation,Grouping keys and output grain must match the business question.,python,"Python for Data Analysis, 3rd Edition",10. Data Aggregation and Group Operations,PDF 112,A,approved,
TECH013,analytics,python,summary statistics,method,"Grouped Python analysis can compute counts, means, standard deviations, rankings, quantiles, transformations, and custom group functions.",,verified DataFrame; statistic definition,Use deterministic functions and document treatment of missing values/outliers.,python,"Python for Data Analysis, 3rd Edition",10. Data Aggregation and Group Operations,PDF 112,A,approved,
TECH014,analytics,python,merge and join,principle,DataFrame merge/join operations should use explicit keys and known relationship cardinality to avoid accidental duplication.,,left/right datasets; join keys; expected cardinality,Check pre/post row counts and duplicate keys for critical joins.,python,"Python for Data Analysis, 3rd Edition","Data Wrangling: Join, Combine, and Reshape",N/A,A,approved,
TECH015,analytics,python,missing data,principle,Missing data must be identified and handled deliberately rather than silently converted into ordinary values.,,missingness pattern; metric semantics,"State whether rows are dropped, imputed, or preserved; never impute business facts without an approved rule.",python,"Python for Data Analysis, 3rd Edition",Data Cleaning and Preparation,PDF 20,A,approved,
TECH016,analytics,python,pivot and cross tabulation,method,Pivot tables and cross-tabulations summarize values across categorical dimensions and can support management reporting when the grain is explicit.,,verified DataFrame; row dimensions; column dimensions; measure,Check totals against the unpivoted source result.,python,"Python for Data Analysis, 3rd Edition",Group Operations / Pivot Tables,PDF 346,A,approved,
TECH017,data management,governance,data governance,definition,"Data governance specifies decision rights and accountability to ensure appropriate behavior in the valuation, creation, storage, use, archiving, and deletion of data.",,data ownership; decision rights; controls,Assign accountable owners for governed data and controls; do not rely on the model as governance authority.,llm+knowledge,"Principles of Data Management, 3rd Edition",Data Governance,PDF 33,A,approved,
TECH018,data management,metadata,metadata,definition,"Metadata describes data and supports understanding, management, and controlled use of data assets.",,data asset; descriptive/technical metadata,Keep schema metadata synchronized with the actual database rather than cached model assumptions.,mysql,"Principles of Data Management, 3rd Edition",Metadata,PDF 14,A,approved,
TECH019,data management,quality,data quality,principle,Data quality must be assessed relative to intended use; analytical outputs are only as reliable as the underlying data and transformations.,,data fields; business rules; intended use,Run approved completeness/validity/consistency checks before relying on critical metrics.,python+mysql,"Principles of Data Management, 3rd Edition",Data Quality,PDF 14,A,approved,
TECH020,testing,software quality,shift-left testing,principle,"Quality checks should occur throughout development, including requirement validation, unit tests, static analysis, local automated tests, CI tests, and security testing.",,requirements; tests; code changes,Do not postpone security/validation testing until the final demo.,python,"Full Stack Testing, 2nd Edition",Shift-left testing,PDF 25,A,approved,
TECH021,testing,software quality,unit tests,principle,Unit tests provide fast feedback on deterministic components and should accompany implementation changes.,,function behavior; expected cases; edge cases,"Tests must include failure and boundary cases, not only happy paths.",python,"Full Stack Testing, 2nd Edition",Writing unit tests,PDF 25,A,approved,
TECH022,testing,software quality,static analysis,principle,Linting/static analysis and secret scanning provide early feedback before code reaches later test stages.,,source code; configured rules,Review findings; do not blindly auto-fix security-sensitive code.,python,"Full Stack Testing, 2nd Edition",Shift-left quality checks,PDF 25,A,approved,
TECH023,ai systems,generation control,temperature,principle,LLM token selection includes randomness controlled in part by temperature; lower temperature is appropriate when reproducibility and constrained business outputs matter.,,model call; temperature setting,Keep production temperature low and verify outputs structurally; low temperature does not guarantee factual correctness.,llm,Prompt Engineering for Generative AI,Token generation / temperature,PDF 18,B,approved,
TECH024,ai systems,structured output,structured parsing,principle,"Structured-output parsers can constrain model responses into defined fields, reducing ambiguity between planning text and executable parameters.",,schema; model response,Reject malformed output rather than guessing missing executable fields.,python,Prompt Engineering for Generative AI,Output parsers / structured output,PDF 198,B,approved,
TECH025,ai systems,prompting,few-shot examples,principle,"Providing representative examples can improve task accuracy compared with zero-shot prompting for some tasks, but examples do not replace deterministic validation.",,task examples; desired output schema,"Use small, representative examples and still validate every executable field.",llm,Prompt Engineering for Generative AI,Few-shot prompting,PDF 37,B,approved,
